0,Binary,Title,Url,Date,Division,Notice
1,1,[CTL] 2021-2학기 '파워포인트 인포그래픽 디자인 기법' 특강 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=2bdb4d0e267c56d1f618b46b68236aa4,21.10.15,학습/상담,공지사항
2,1,2021-2학기 SW학습 On-Line 튜터링 튜티 모집 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=6602005da2030df7fec18fc627357791,21.10.15,학습/상담,공지사항
3,0,한국장학재단 대학글로벌현장학습 참가학생 모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=ec1ee1599be06741904d6e98cba120c2,21.10.15,취창업,공지사항
4,0,2021학년도 하반기 강남대학교 직원 추가 채용,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=527cc035ed6ba99ae1e5dd36c1306d6e,21.10.15,학사,공지사항
5,0,[도서관] 2021 전자정보박람회 경품 당첨자 및 우수 후기 선정자 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=e3fd096a6568d0307f8d514c4adfa247,21.10.15,학습/상담,공지사항
6,0,"[마음] ""나와 너를 이해하는 시간"" 집단상담 안내 (~10/20 수까지 연장)",https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=b46b6e20bc53a0234ac9fc9a238b113a&encMenuBoardSeq=78c9acb1cbcf0b2d8a16ac8d0a1639f9,21.10.14,학습/상담,공지사항
7,0,[교원초빙] 2022학년도 1학기 전임교원 초빙,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=c5dc4b1d7b4dd402e5e6a7a8471eb55c&encMenuBoardSeq=bda4b68854bf15eeb10dc1136cbe2040,21.10.14,학사,공지사항
8,0,강인한 HEROES 'KNU 창직' 수상자 발표,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=cb46187764dd293db7c20580bd61b4be,21.10.14,취창업,공지사항
9,1,(사회적경제) '사회적경제 청년인재 양성을 위한 시스템 구축 세미나' 수강생 모집,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=2e67a707c8748b10875b88e52fffe9bb,21.10.14,취창업,공지사항
10,0,센터의 각종 조사 시행 안내 및 재학생 의견 수렴 진행 안내,https://web.kangnam.ac.kr/menu/board/info/f19069e6134f8f8aa7f689a4a675e66f.do?scrtWrtiYn=false&encMenuSeq=ea2c9f2a785ae43e520c322896013dfe&encMenuBoardSeq=74c5bb5d91ead8650a9454f412ab4f5d,21.10.14,취창업,공지사항
